ticker,weight
AAPL,34.45559237203698
BAC,15.594225733948145
KO,10.600829529392684
AXP,9.036772713580648
WFC,8.318465138911415
JPM,3.9738628727668748
USB,3.7537363579488847
MCO,2.803716662418611
BK,1.9232106031466505
LUV,1.3902727251662534
DVA,1.3902727251662534
GS,1.3207590889079408
VRSN,1.1933174224343677
PNC,0.6603795444539704
COST,0.6140371202817619
AMZN,0.4750098477651366
SIRI,0.4634242417220845
MTB,0.4402530296359803
OXY,0.3707393933776676
GL,0.3243969692054592
KR,0.2664689389901986
SU,0.23171212086104226
TEVA,0.20854090877493803
BIIB,0.0926848483444169
JNJ,0.023171212086104225
TRV,0.023171212086104225
PG,0.023171212086104225
MDLZ,0.011585606043052112
SPY,0.011585606043052112
UPS,0.004634242417220845
